name,district,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
The Tree Interchange,Bang Sue,3150000,87522,0,3.66,4.2,-10.79,1,1,36,40,2,2015,1,1,1,1,1,0,1,1,0,0,0,1,1700,3400,0,0
Metro sky prachachuen,Bang Sue,3900000,108388,0,4.52,3.66,2.16,1,1,33,24,3,2015,1,1,1,1,1,1,1,1,1,1,1,1,4200,1300,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,3543000,127622,0,3.9,3.95,13.51,1,1,30,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,3570000,127622,0,3.9,3.95,13.51,1,1,30,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,3608000,127622,0,3.9,3.95,13.51,1,1,30,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,2625000,127622,0,3.9,3.95,13.51,1,1,22,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,2577000,127622,0,3.9,3.95,13.51,1,1,21,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,2592000,127622,0,3.9,3.95,13.51,1,1,22,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,3664000,127622,0,3.9,3.95,13.51,1,1,31,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,2723000,127622,0,3.9,3.95,13.51,1,1,23,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,3701000,127622,0,3.9,3.95,13.51,1,1,31,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
Ideo Mobi Wongsawang - Interchange,Bang Sue,2650000,127622,0,3.9,3.95,13.51,1,1,22,30,1,2016,1,1,1,1,1,0,1,1,0,0,0,0,3900,2200,0,0
