name,district,lat,long,sale_price,asking_price,asking_price_change_quater,asking_price_change_year,gross_rental_yield,rental_price_change_year,bedrooms,bathrooms,internal_area,floors,towers,year_built,has_elevator,has_parking,has_security,has_cctv,has_pool,has_sauna,has_gym,has_garden_bbq,has_playground,has_shop_on_premise,has_restaurant_on_premise,has_wifi,city_train_distance,express_way_distance,close_city_train,close_express_way
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,4900000.0,77326.0,0.0,-28.3,4.6,-30.4,2.0,2.0,57.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
Supalai City Resort Bearing Station Sukumvit 105,Bang Na,13.6612197,100.6058711,2890000.0,77326.0,0.0,-28.3,4.6,-30.4,1.0,1.0,40.0,8.0,2.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,340.0,2300.0,1.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1750000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,26.6,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1450000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,23.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1510000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,26.8,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1600000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,22.9,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1800000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,26.7,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1440000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,23.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1460000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,23.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1790000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,27.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1420000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,23.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,2200000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,26.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1800000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,26.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1900000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,26.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1550000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,23.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,2100000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,27.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1900000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,26.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
Unio Rama 2 Thakham,Bang Khun Thian,13.6615904,100.4440255,1700000.0,69392.0,0.0,10.6,5.3,3.7,1.0,1.0,26.0,8.0,3.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7900.0,4500.0,0.0,0.0
The Privacy Pracha Uthit - Suksawat,Thung Khru,13.6616454,100.5027806,1450000.0,71791.0,0.0,21.0,3.9,-7.5,1.0,1.0,23.9,8.0,3.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7600.0,1300.0,0.0,0.0
