"name","district","sale_price","asking_price","asking_price_change_quater","asking_price_change_year","gross_rental_yield","rental_price_change_year","bedrooms","bathrooms","internal_area","floors","towers","year_built","has_elevator","has_parking","has_security","has_cctv","has_pool","has_sauna","has_gym","has_garden_bbq","has_playground","has_shop_on_premise","has_restaurant_on_premise","has_wifi","city_train_distance","express_way_distance","close_city_train","close_express_way"
"IDEO New Rama 9","Bang Kapi",3594700.0,98798.0,-18.09,-19.2,3.91,-29.07,1.0,1.0,26.0,24.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4800.0,1100.0,0.0,0.0
"D Condo Ramkhamhaeng","Bang Kapi",1650000.0,65121.0,0.0,-15.59,4.92,-1.48,1.0,1.0,30.0,8.0,5.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4900.0,1200.0,0.0,0.0
"IDEO New Rama 9","Bang Kapi",3499000.0,98798.0,-18.09,-19.2,3.91,-29.07,1.0,1.0,37.0,24.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4800.0,1100.0,0.0,0.0
"Living Nest Ramkhamhaeng","Bang Kapi",1890000.0,67246.0,-13.72,-15.65,5.37,-2.59,1.0,1.0,25.0,8.0,3.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8200.0,4800.0,0.0,0.0
"Bangkok Horizon Ramkhamhaeng","Bang Kapi",5500000.0,49540.0,0.0,-16.68,8.96,56.12,2.0,2.0,89.0,38.0,1.0,2010.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9400.0,5800.0,0.0,0.0
"City Villa","Bang Kapi",1050000.0,24780.0,0.0,-16.53,5.38,-15.91,1.0,1.0,32.0,9.0,8.0,1997.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7500.0,3700.0,0.0,0.0
"D Condo Ramkhamhaeng","Bang Kapi",1905500.0,65121.0,0.0,-15.59,4.92,-1.48,1.0,1.0,30.0,8.0,5.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4900.0,1200.0,0.0,0.0
"D Condo Ramkhamhaeng","Bang Kapi",1500000.0,65121.0,0.0,-15.59,4.92,-1.48,1.0,1.0,29.0,8.0,5.0,2012.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4900.0,1200.0,0.0,0.0
"IDEO New Rama 9","Bang Kapi",5356000.0,98798.0,-18.09,-19.2,3.91,-29.07,1.0,1.0,34.0,24.0,1.0,2020.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4800.0,1100.0,0.0,0.0
"Chewathai Ramkamhaeng","Bang Kapi",2150000.0,78334.0,0.0,6.75,5.09,3.11,1.0,1.0,30.0,36.0,1.0,2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7700.0,4100.0,0.0,0.0
"Lumpini Ville Ramkhamhaeng 60/2","Bang Kapi",3200000.0,73281.0,14.03,13.42,4.86,3.85,2.0,2.0,45.0,25.0,3.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,9500.0,5900.0,0.0,0.0
"Lumpini Ville Ramkhamhaeng 60/2","Bang Kapi",1483000.0,73281.0,14.03,13.42,4.86,3.85,1.0,1.0,23.0,25.0,3.0,2014.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,9500.0,5900.0,0.0,0.0
"Unio Ramkhamhaeng - Serithai","Bang Kapi",1490000.0,59345.0,0.0,10.37,4.55,-3.43,1.0,1.0,27.0,8.0,3.0,2018.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,12000.0,6200.0,0.0,0.0
"Chewathai Ramkamhaeng","Bang Kapi",2480000.0,78334.0,0.0,6.75,5.09,3.11,1.0,1.0,36.0,36.0,1.0,2013.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7700.0,4100.0,0.0,0.0
"Tempo One Ramkhamhaeng Rama 9","Bang Kapi",2700000.0,70257.0,0.0,-13.11,5.02,104.17,2.0,1.0,37.0,8.0,1.0,2015.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5700.0,1000.0,0.0,1.0
"The One Plus D (Phase 3) Hua Mak 12","Bang Kapi",2800000.0,54549.0,0.0,-5.02,5.72,-12.16,2.0,1.0,45.0,8.0,2.0,2017.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,9400.0,5500.0,0.0,0.0
